"Etablissement";"Ville";"Code Etablissement";"Commune";"Secteur Public=PU Prive=PR";"Effectif Presents serie L";"Effectif Presents serie ES";"Effectif Presents serie S";"Effectif Presents serie STG";"Effectif Presents serie STI";"Effectif Presents serie STL";"Effectif Presents serie ST2S";"Effectif Presents serie Musiq Danse";"Effectif Presents serie Hotellerie";"Effectif Presents Total series";"Taux Brut de Reussite serie L";"Taux Brut de Reussite serie ES";"Taux Brut de Reussite serie S";"Taux Brut de Reussite serie STG";"Taux Brut de Reussite serie STI";"Taux Brut de Reussite serie STL";"Taux Brut de Reussite serie ST2S";"Taux Brut de Reussite serie Musiq Danse";"Taux Brut de Reussite serie Hotellerie";"Taux Brut de Reussite Total series";"Taux Reussite Attendu/Acad serie L";"Taux Reussite Attendu/Acad serie ES";"Taux Reussite Attendu/Acad serie S";"Taux Reussite Attendu/Acad serie STG";"Taux Reussite Attendu/Acad serie STI";"Taux Reussite Attendu/Acad serie STL";"Taux Reussite Attendu/Acad serie ST2S";"Taux Reussite Attendu/Acad serie Musiq Danse";"Taux Reussite Attendu/Acad serie Hotellerie";"Taux Reussite Attendu/Acad Total series";"Taux Reussite Attendu/France serie L";"Taux Reussite Attendu/France serie ES";"Taux Reussite Attendu/France serie S";"Taux Reussite Attendu/France serie STG";"Taux Reussite Attendu/France serie STI";"Taux Reussite Attendu/France serie STL";"Taux Reussite Attendu/France serie ST2S";"Taux Reussite Attendu/France serie Musiq Danse";"Taux Reussite Attendu/France serie Hotellerie";"Taux Reussite Attendu/France Total series";"Sructure pedagogique en 5 groupes";"%Bachel/sort. 2de+1re+Term. Etab.";"%Bachel/sort. Terminales Etab.";"%Bachel/sort. 2de+1re+Term. Acad.";"%Bachel/sort. Terminales Acad.";"%Bachel/sort. 2de+1re+Term. France";"%Bachel/sort. Terminales France";"Effectif de seconde";"Effectif de premiere";"Taux acces Brut seconde-BAC";"Taux acces Attendu/Acad seconde-BAC";"Taux acces Attendu/France seconde-BAC";"Taux acces Brut premiere-BAC";"Taux acces Attendu/Acad premiere-BAC";"Taux acces Attendu/France premiere-BAC";"Academie";"Departement"
"LYCEE ANDRE HONNORAT (GENERAL ET TECHNO.)";"BARCELONNETTE";"0040003G";"4019";"PU";"10";"21";"22";" ";" ";" ";" ";" ";" ";"53";"90";"81";"91";".";".";".";".";".";".";"87";"96";"94";"94";".";".";".";".";".";".";"95";"92";"91";"93";".";".";".";".";".";".";"92";"1";"68";"92";"72";"92";"73";"96";"58";"54";"66";"69";"68";"89";"90";"90";"AIX-MARSEILLE";"ALPES DE HTE PROVENCE"
"LYCEE ALEXANDRA DAVID NEEL";"DIGNE LES BAINS";"0040027H";"4070";"PU";"49";"30";"32";"35";" ";" ";"69";" ";" ";"215";"90";"93";"88";"89";".";".";"70";".";".";"83";"92";"94";"90";"89";".";".";"81";".";".";"88";"88";"94";"91";"87";".";".";"84";".";".";"88";"2";"73";"89";"72";"92";"75";"92";"193";"217";"71";"71";"72";"81";"85";"84";"AIX-MARSEILLE";"ALPES DE HTE PROVENCE"
"LYCEE LE SACRE COEUR";"DIGNE LES BAINS";"0040034R";"4070";"PR";"4";"13";"16";"11";" ";" ";" ";" ";" ";"44";"100";"100";"100";"73";".";".";".";".";".";"93";"89";"88";"77";"85";".";".";".";".";".";"83";"83";"83";"74";"83";".";".";".";".";".";"80";"2";"61";"93";"72";"92";"75";"92";"19";"28";"40";"60";"60";"70";"83";"79";"AIX-MARSEILLE";"ALPES DE HTE PROVENCE"
"LYCEE PIERRE-GILLES DE GENNES";"DIGNE LES BAINS";"0040490L";"4070";"PU";" ";" ";"54";" ";"46";"27";" ";" ";" ";"127";".";".";"98";".";"93";"96";".";".";".";"96";".";".";"94";".";"92";"99";".";".";".";"94";".";".";"94";".";"87";"98";".";".";".";"92";"3";"79";"98";"72";"92";"72";"92";"163";"181";"78";"72";"72";"91";"88";"88";"AIX-MARSEILLE";"ALPES DE HTE PROVENCE"
"LYCEE LES ISCLES (GENERAL ET TECHNO.)";"MANOSQUE";"0040533H";"4112";"PU";" ";" ";"93";" ";"27";" ";" ";" ";" ";"120";".";".";"90";".";"89";".";".";".";".";"90";".";".";"87";".";"76";".";".";".";".";"85";".";".";"85";".";"83";".";".";".";".";"85";"3";"63";"93";"72";"92";"72";"92";"202";"155";"62";"68";"69";"86";"87";"87";"AIX-MARSEILLE";"ALPES DE HTE PROVENCE"
"LYCEE FELIX ESCLANGON";"MANOSQUE CEDEX";"0040010P";"4112";"PU";"46";"82";"85";"89";" ";" ";" ";" ";" ";"302";"91";"96";"94";"96";".";".";".";".";".";"95";"90";"93";"93";"90";".";".";".";".";".";"92";"88";"90";"93";"87";".";".";".";".";".";"90";"2";"75";"97";"72";"92";"75";"92";"335";"356";"73";"72";"70";"87";"88";"87";"AIX-MARSEILLE";"ALPES DE HTE PROVENCE"
"LYCEE PAUL ARENE";"SISTERON CEDEX";"0040023D";"4209";"PU";"31";"38";"63";"18";" ";" ";" ";" ";"29";"179";"87";"89";"90";"78";".";".";".";".";"97";"89";"80";"89";"84";"89";".";".";".";".";"96(1)";"87";"81";"88";"86";"86";".";".";".";".";"88";"86";"2";"79";"91";"72";"92";"75";"92";"155";"173";"76";"72";"71";"87";"88";"86";"AIX-MARSEILLE";"ALPES DE HTE PROVENCE"
"LYCEE CELONY";"AIX EN PROVENCE";"0133425C";"13001";"PR";" ";" ";" ";"27";"31";" ";" ";" ";" ";"58";".";".";".";"89";"97";".";".";".";".";"93";".";".";".";"82";"96";".";".";".";".";"90";".";".";".";"86";"94";".";".";".";".";"90";"6";"77";"86";"72";"92";"72";"90";"54";"60";"75";"61";"62";"84";"80";"83";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE PAUL CEZANNE";"AIX EN PROVENCE";"0130002G";"13001";"PU";"100";"106";"185";"88";" ";" ";" ";" ";" ";"479";"95";"94";"95";"89";".";".";".";".";".";"94";"95";"96";"97";"93";".";".";".";".";".";"95";"92";"95";"96";"92";".";".";".";".";".";"94";"2";"80";"95";"72";"92";"75";"92";"550";"479";"76";"75";"76";"90";"91";"90";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE SACRE COEUR (LE)";"AIX EN PROVENCE";"0131862D";"13001";"PR";"35";"68";"84";"48";" ";" ";"63";" ";" ";"298";"97";"97";"96";"96";".";".";"83";".";".";"94";"95";"97";"97";"93";".";".";"86";".";".";"94";"93";"96";"97";"93";".";".";"88";".";".";"94";"2";"79";"96";"72";"92";"75";"92";"289";"300";"76";"72";"73";"90";"87";"87";"AIX-MARSEILLE";"BOUCHES DU RHONE"
